geoname,level_1,AGRm,MINm,MANm,TandWm,INFm,FandIm,Rem,HSm,PIEPCm,TRADEm,PSTEm,MEHIm,unemployrate
Alabama,ADF Statistic,-2.7850452656795164,-7.869869029489877,-3.8709199936290077,-4.381695345311913,-0.8785345468387392,-1.150654734451126,-2.9711039618422546,-2.749543788536921,-1.143718863986347,-2.9128482941086595,-0.12171222279406384,-6.607347415096075,-4.108879178228099
Alabama,P-value,0.2024913849542011,1.428425517043687e-10,0.0132965996233504,0.002341595978736943,0.9583963988389599,0.9201346905352066,0.14033967295613753,0.2160924893690584,0.9214135005055606,0.15809716716336542,0.9927683399365378,1.070006572696209e-07,0.006120323807056719
Alaska,ADF Statistic,-2.8056174171207706,-2.7742390437405713,-5.395289739357679,-2.2350026197796797,-2.9934363535362203,-6.322038654617635,-1.3330454772955511,-3.6720701470191854,0.006226670828047632,-4.874015848146352,-4.738264815239777,-4.420068407461069,-4.730419962457024
Alaska,P-value,0.19488887168510532,0.20656698454251898,3.6982575963659584e-05,0.47018028183600524,0.1339252831419171,4.5114288029350445e-07,0.8795113191605788,0.024263653055768757,0.994295642453182,0.0003467713163502159,0.0005997778298471276,0.0020337250000875906,0.000618776765478862
Arizona,ADF Statistic,-1.9185537335857274,-4.143803160636082,-1.0456189346448734,-2.112601198298427,-2.094726269077221,-2.0652120771670885,-2.282146473392106,-3.7330554076777465,-1.319421845511557,-1.8194488054328217,-1.7580948172532636,-3.475965082552054,-4.087820076538273
Arizona,P-value,0.6450010926498531,0.005434537054405129,0.9376536961628839,0.5390334242880868,0.5490486820108368,0.5655134838169482,0.4438491872292507,0.020270673938081633,0.8830414424602681,0.6953055738962401,0.7246052066816175,0.04203514624224502,0.006571037979879756
Arkansas,ADF Statistic,-3.5750538527205684,-2.345104861795717,-3.8211893631153893,-2.0242732709030764,-1.5486594015617865,-3.1746793557200417,-4.069052869109686,-2.226304424528637,-2.1411866273219653,-4.6482233623461156,-1.1396461295624238,-1.955428180865844,-5.207019418037184
Arkansas,P-value,0.032019791007238944,0.40917981320182406,0.015518267215007849,0.5881513110527373,0.8118907134808597,0.08956624504673538,0.0069979005770993115,0.47506143505356,0.5229698361701849,0.0008551593102029596,0.9221560228687832,0.6254878175389303,8.494918169262583e-05
California,ADF Statistic,-2.110674845621315,-2.4588280761392785,-2.9976528924978667,-6.074140506425911,-3.646956803401884,-0.5811513634710533,-3.57225901946802,-0.13107246258029023,-2.4946310556421922,-2.4850520559858813,-5.237875167871603,-2.5919974954450344,-3.0781364529978132
California,P-value,0.54011404236162,0.34884290576816074,0.13273836383536158,1.5325021955751756e-06,0.02609661181353571,0.9798878457553925,0.03227153600750533,0.9926340491203175,0.33065175301737143,0.3354755786828045,7.4252910801089e-05,0.28358990357727665,0.11152783010597245
Colorado,ADF Statistic,-2.757578843228404,-9.528390549032013,-3.262396217677594,-3.0968729016109964,-3.764431612074979,-5.000176449170841,-1.9489191716207275,0.46684690915749305,-1.968412271195407,-4.525506872119783,-1.090753362557982,-2.7542488204463482,-4.302222321500765
Colorado,P-value,0.21296095111443614,2.4063282011052742e-14,0.07266994561903403,0.10697589607159225,0.018449737115980663,0.00020559508785827134,0.6289595049139218,0.9967856301157384,0.618529862047101,0.001370838764402676,0.9305981859615126,0.21425500950362997,0.0031214207369389922
Connecticut,ADF Statistic,-4.949042335076469,-1.9615433980068235,-6.962941593369277,-2.9699171254638776,-3.5121959685393325,-4.272099984073276,-2.396174499377821,-0.33603176094728554,-2.5426570548319303,-2.7261097822541425,-1.337550790623333,-2.195145226019125,-11.532470697951306
Connecticut,P-value,0.00025450616953294226,0.6222161042005598,1.71362288116098e-08,0.140686611804409,0.03810382590242059,0.0034751495848683502,0.3816546795616969,0.9886471786232105,0.3069735307046148,0.2254022441146185,0.8783252756634605,0.4925833248701421,2.3617856373385702e-18
Delaware,ADF Statistic,-2.2990748494856397,-0.7550413024576058,-4.025526558810417,-1.6161499193671145,-1.2335862636343016,-2.1351599785720725,-4.757350428149613,-6.691800853208532,-3.673561602481617,-2.9981629700699446,-4.073064417512709,-5.363139818146298,-1.401870372042825
Delaware,P-value,0.4344616786147814,0.9692687489173272,0.008086328722130361,0.7860443978322065,0.9033915566997464,0.5263602001106665,0.000555833564216346,6.949724595717451e-08,0.02415839664037671,0.1325952997898563,0.006904597601821372,4.27000457262561e-05,0.8603626424764679
Florida,ADF Statistic,-1.8423562300688985,-3.780327648194218,-4.633996730008773,-4.913887826018,-3.2226385051288284,-2.2356246064027574,-2.476371697068858,1.3238528752834302,-2.490697051401331,-3.0839670689680516,-5.626376592773987,-1.705863150990224,-3.532943074124361
Florida,P-value,0.6839852726278224,0.017583258796914664,0.0009038699358989332,0.00029437003651395106,0.07998434861189946,0.4698314611095097,0.3398744992651264,1.0,0.3326289361741099,0.11009599158008654,1.2900113310955032e-05,0.7482887954613019,0.035995749032173764
Georgia,ADF Statistic,-3.2771775253495212,-1.3038670471465197,-3.7606523102621114,-4.176864518972653,-2.908169050173163,-4.299896587397258,-2.502420354944893,-0.3455181546532624,-2.3626656976031066,-4.126357792542556,-1.949166317194509,-4.303945506325186,-3.046822597447265
Georgia,P-value,0.07009054752538846,0.8869693247047981,0.018661181197174467,0.004850728661895958,0.15958839602842417,0.003147499401116391,0.32675326469730714,0.9884037297602538,0.39964580345403133,0.005767817778132033,0.6288278908301572,0.0031022274048533357,0.11945722136846199
