	fe_results
	b
agrr	1367147
minr	-22646.86
manr	-117608.6
tandwr	-110668
infr	-165003.8
fandir	-95650.17
pster	71868.45
hsr	257916.1
piepc	-.5411799
mehi	-.0684535
unemployrate	-431.4476
_cons	61423.1
