geoname,level_1,AGRm,MINm,MANm,TandWm,INFm,FandIm,Rem,HSm,PIEPCm,TRADEm,PSTEm,MEHIm,unemployrate
Louisiana,ADF Statistic,-2.561908028,-2.574995229,-4.547813167,-1.047066338,-2.059979069,0.836278408,-2.727327688,-1.266267764,-0.041390571,-2.678032437,-1.356575145,-4.963217327,-3.416946298
Louisiana,P-value,0.29773195,0.291534855,0.001259429,0.937437926,0.568421458,1,0.224911941,0.896020428,0.993789197,0.245316451,0.873213928,0.000239936,0.049164624
Maine,ADF Statistic,-1.507531682,1.313893215,-1.230931397,-2.515267009,-3.227138785,-1.705060382,0.487040154,-0.870692392,0.990713446,-1.972612359,1.02776969,-2.223244152,-1.577630918
Maine,P-value,0.826540143,1,0.903970575,0.320371853,0.079128335,0.748643297,0.996827326,0.959187089,1,0.616270094,1,0.476780027,0.80106964
Maryland,ADF Statistic,-3.309316183,-3.244776609,-3.089865003,-1.539709856,-2.926920365,-1.576876735,-3.535856862,-1.515147382,-2.19764147,-2.714862088,0.416625425,-1.603709175,-1.994925238
Maryland,P-value,0.064735273,0.075842931,0.108661726,0.815149682,0.153670926,0.801356575,0.035707752,0.82389058,0.491178068,0.229963632,0.996663365,0.790976411,0.604195512
Massachusetts,ADF Statistic,-1.592744634,-3.362245698,-3.195171157,-1.570917693,0.176035887,-1.706356107,-1.037487504,-1.156387278,0.546523973,-2.632164126,1.426748332,-2.793835472,0.606509738
Massachusetts,P-value,0.795260655,0.056640292,0.085368211,0.803613895,0.995636178,0.748070962,0.938853311,0.919064049,0.996926571,0.265311716,1,0.199217829,0.996992521
Michigan,ADF Statistic,-3.125865237,-1.403398078,-2.126216151,-0.940425364,-1.957922861,-4.831518554,-1.240449972,-3.130620401,0.863800351,-3.471453443,-2.086542792,-2.245900953,-1.842813859
Michigan,P-value,0.100211046,0.859912233,0.53138841,0.951617875,0.624154297,0.000412338,0.901880959,0.099133389,1,0.042547722,0.553623833,0.464072989,0.683757127
Minnesota,ADF Statistic,-3.690576791,-1.613776944,-3.073451345,-1.671095049,-2.748235522,-3.584209927,-0.179896655,-1.72266504,-0.686109233,-3.399968952,-0.217993252,-1.977093403,-1.576753442
Minnesota,P-value,0.022985346,0.786990947,0.112688449,0.763370745,0.216605303,0.031206772,0.991875049,0.740802226,0.974045095,0.051392075,0.991208534,0.613854458,0.801403456
Mississippi,ADF Statistic,-3.739223703,-1.393837955,-4.635542792,-1.557681432,-0.912825522,-2.705991033,-2.785332945,-2.830647087,-2.326404687,-4.078768258,-2.247046655,-2.92043247,-1.305798014
Mississippi,P-value,0.019900751,0.86271248,0.000898453,0.8085653,0.954761942,0.233603443,0.202383658,0.185915933,0.419403448,0.006773878,0.46343156,0.155700756,0.886487624
Missouri,ADF Statistic,-3.604291697,-2.878804901,-1.071928366,-1.665003642,-3.725618156,-2.364534248,-1.00444848,-1.749566158,-0.644635697,-3.093106063,-0.516520112,-2.508011731,-1.044454098
Missouri,P-value,0.029485249,0.169505751,0.933624179,0.765955207,0.020724686,0.398635404,0.943512971,0.728554125,0.976543092,0.10787958,0.982771736,0.323968366,0.93782685
Montana,ADF Statistic,-3.683522368,-0.329174513,-1.487187548,-3.272979563,0.959044545,-1.843481969,0.952700289,3.290227093,1.239447029,-3.618151369,2.41675579,1.344549854,-2.139022185
Montana,P-value,0.02346554,0.98881933,0.833477554,0.070815544,1,0.68342391,1,1,1,0.028345216,1,1,0.52418765
Nebraska,ADF Statistic,-2.246818178,-3.523572911,-1.046291523,-3.858039109,-2.806458185,-1.964886116,-2.867207069,-0.50696844,-0.024851925,-3.894255202,-0.32494547,-1.32819047,0.298456761
Nebraska,P-value,0.463559465,0.036935271,0.937553515,0.013843095,0.194582528,0.62042368,0.173355333,0.983158046,0.99397274,0.012355264,0.988923928,0.880779028,0.99626017
Nevada,ADF Statistic,-3.707939907,-1.993054454,-2.619204439,-1.263882026,-2.699574654,-1.154253313,-1.011955682,-0.863833816,0.629795064,-3.604194752,-0.862889463,-2.697496411,-1.910177761
Nevada,P-value,0.021839683,0.605212209,0.271132335,0.896573926,0.236259204,0.919464055,0.942483871,0.959866641,0.997009171,0.02949336,0.959959342,0.237123541,0.649378769
New Hampshire,ADF Statistic,-3.134899541,-2.051583406,-3.727221705,-2.17715304,-1.692420725,-2.415535587,-1.738547036,-2.438050359,-2.622296246,-3.160620704,0.240947541,-3.892401537,-2.875582535
New Hampshire,P-value,0.098171212,0.573078789,0.020626051,0.502716081,0.754186125,0.371392704,0.733609574,0.359593859,0.269736981,0.092537896,0.995996505,0.012427806,0.170568824
New Jersey,ADF Statistic,-3.596364839,-2.561827982,-2.108553915,-1.252930641,1.615083854,-0.7903445,-1.139017738,0.004080842,1.632402301,-3.145284992,3.488988424,-3.149503435,-2.957731192
New Jersey,P-value,0.0301548,0.297770069,0.541303476,0.899083336,1,0.966486483,0.922270038,0.994274235,1,0.095865784,1,0.094941324,0.144284334
New Mexico,ADF Statistic,-2.088473852,-4.553536409,-2.493707132,-2.428698741,-1.53320931,-1.247543397,-1.700850453,-2.42714858,-1.449483062,-3.075521708,-1.0931975,-3.134593333,-1.701126289
New Mexico,P-value,0.552544859,0.001232244,0.331115612,0.364476324,0.817492024,0.900299005,0.750497584,0.365288197,0.845796324,0.112174458,0.93019636,0.098239826,0.750376338
New York,ADF Statistic,-2.761969967,-1.162861135,-2.981416096,-3.494708666,2.196451314,-1.438041531,-4.564955161,-0.636860122,-0.092874255,-3.475955521,-3.502086928,-1.18740022,-2.811327624
New York,P-value,0.211262706,0.917839927,0.137350956,0.039960786,1,0.849396911,0.001179641,0.97698271,0.993161061,0.042036227,0.039168203,0.913052873,0.192815039
North Carolina,ADF Statistic,-4.092969507,-3.360475209,-2.485614233,0.898193485,0.56501274,-2.104955632,-0.689667129,-3.452621397,1.83499068,-2.194819204,2.659630094,1.27312022,-1.335984796
North Carolina,P-value,0.006458124,0.056897015,0.335191585,1,0.996950479,0.543320584,0.973818293,0.044744151,1,0.492766872,1,1,0.878738586
North Dakota,ADF Statistic,-3.455677229,1.059920176,-3.60577378,-3.506986069,-3.202927047,-2.916800866,-2.689745688,-1.215718284,-3.538189888,-2.377984625,-1.765239801,-5.520892306,-4.020225035
North Dakota,P-value,0.044381436,1,0.02936149,0.038649284,0.083820028,0.156845077,0.240364881,0.907232247,0.035478569,0.391386541,0.721273019,2.10E-05,0.008228863
Ohio,ADF Statistic,-3.543169212,0.386696908,-1.763665951,-1.569607915,-2.78732383,-2.50668431,-1.113898741,-0.924889494,0.647936841,-3.954642754,-2.314157607,-1.993341827,-1.775667623
Ohio,P-value,0.0349936,0.996577277,0.722008873,0.804107704,0.201639232,0.324628481,0.926708803,0.953412366,0.997018715,0.010189425,0.426135335,0.605056083,0.716371142
Oklahoma,ADF Statistic,-2.542858218,-1.244169199,-3.215941139,0.893416046,-6.137017697,-2.177031784,-0.701253346,2.434224391,-1.594566623,-2.463142035,-1.090661565,-4.719520712,-2.829082904
Oklahoma,P-value,0.3068762,0.901054155,0.081271775,1,1.13E-06,0.502784384,0.973065426,1,0.794552808,0.346628104,0.930613237,0.000646119,0.186467775
Oregon,ADF Statistic,-4.023119266,-2.328168627,-0.745897227,-1.429228409,3.597452429,-1.698075977,-1.439198858,-1.189905217,1.558526821,-3.896587634,3.385304833,-1.111097792,-1.824649292
Oregon,P-value,0.008150771,0.418436142,0.969950672,0.852126954,1,0.751715192,0.849035604,0.912550928,1,0.012264522,1,0.927189577,0.692753033
Pennsylvania,ADF Statistic,-3.675131155,-4.167034031,-4.1369446,-2.021576908,-2.176167603,-1.539400602,-1.960434182,-1.181233759,0.343010403,-2.439066424,-0.197032373,-1.847899831,-2.538031504
Pennsylvania,P-value,0.024048057,0.005018022,0.005563409,0.589632414,0.503271177,0.815261589,0.62281026,0.914277937,0.996432632,0.359064974,0.991583783,0.681216414,0.309215928
Rhode Island,ADF Statistic,-2.567828755,-1.405749877,-3.097616413,-2.126950835,-1.71896751,-2.575652059,-2.412462379,-2.67037388,0.380837295,-2.038052056,-0.326028725,-1.800974112,-1.241379927
Rhode Island,P-value,0.294919659,0.859216673,0.106798202,0.530975536,0.742460672,0.291225686,0.373014661,0.248588313,0.996559211,0.580562355,0.988897249,0.704288427,0.901674771
South Carolina,ADF Statistic,-3.822855893,-2.818279741,-2.248678202,-2.921437686,-4.419129245,-1.939647301,2.962626088,2.226874632,1.001633145,-3.611597618,1.423816915,-3.439641471,-1.116384391
South Carolina,P-value,0.015438799,0.190311529,0.462518342,0.155385043,0.002040788,0.633885177,1,1,1,0.028879486,1,0.046312503,0.926279791
South Dakota,ADF Statistic,-2.94088857,-3.089927342,-3.654812133,-3.06893423,-3.774637461,-2.508128842,-1.941536115,-1.481054238,0.29725821,-2.174231496,2.757261467,-2.858662836,-1.582818009
South Dakota,P-value,0.149363787,0.108646642,0.025510816,0.113815991,0.017889222,0.323910158,0.632883651,0.835528986,0.996255162,0.504361798,1,0.176232879,0.799088604
Tennessee,ADF Statistic,-0.964052691,-1.953270034,-1.290789513,-2.827795169,1.034261032,-0.989697498,1.901956208,-2.108070755,1.495091241,-3.91813035,1.534592783,-1.560257561,-1.482207514
Tennessee,P-value,0.948762921,0.626640138,0.890187966,0.186922977,1,0.945485556,1,0.541574386,1,0.011454122,1,0.807608395,0.83514466
Texas,ADF Statistic,-3.907256632,-1.886592091,-2.936260339,0.948603976,2.607466058,-1.020664243,2.718691228,2.196520076,0.815814636,-3.038820217,2.839345487,-1.021895211,0.671114234
Texas,P-value,0.011856988,0.661588337,0.150781398,1,1,0.941268423,1,1,1,0.121549066,1,0.941094723,0.997026551
Utah,ADF Statistic,-1.184006137,-2.546942464,-1.621201025,-1.967446598,2.616041998,-2.196431084,1.579499118,5.663978531,2.914763094,-1.323706809,2.263570486,-1.176394427,-3.091021851
Utah,P-value,0.913729014,0.304903524,0.784020486,0.61904881,1,0.491859429,1,1,1,0.881940231,1,0.91522889,0.108382062
Vermont,ADF Statistic,-2.643610693,-2.773334481,-3.544104373,-3.398282976,-2.539230846,-2.590337416,-3.758924805,-2.012146261,-1.836968523,-2.532840103,-2.391299778,-3.862351293,-2.188856877
Vermont,P-value,0.260232709,0.206910704,0.03490315,0.051617755,0.308633702,0.284360288,0.018758538,0.594801818,0.686665448,0.31174256,0.384254386,0.01365796,0.496124089
Virginia,ADF Statistic,-2.665089995,-2.545358576,-3.146617863,-1.728658647,-3.026380472,-1.295508867,-2.321014715,-3.663133804,-1.264916559,-2.376152894,-3.225813317,-2.976261984,-1.831866821
Virginia,P-value,0.25086141,0.305667756,0.095572944,0.738100962,0.124854331,0.889035194,0.422362805,0.024902684,0.896334213,0.392371163,0.079379702,0.13883898,0.6891934
Washington,ADF Statistic,-4.542773036,-2.653795287,-2.926386353,-1.707898103,2.341391827,-1.885495155,3.221641105,-0.024061034,1.327416201,-0.002634267,2.082054666,-1.641938398,-2.51981999
Washington,P-value,0.001283834,0.255763133,0.153837297,0.747388853,1,0.662151827,1,0.993981308,1,0.994206409,1,0.775582247,0.318124894
West Virginia,ADF Statistic,-4.618734403,-3.854004927,-2.580823815,-2.941007055,-4.273081518,-2.157458466,-1.861231282,-1.0535451,1.642631997,-2.661770967,-2.813015877,-3.306261658,-2.934970985
West Virginia,P-value,0.000959024,0.01401831,0.288797607,0.149327619,0.003463063,0.513809503,0.674512382,0.936463757,1,0.252295779,0.19220493,0.065229607,0.151178001
Wisconsin,ADF Statistic,0.828118639,-2.817524161,-3.210078323,-1.656485777,-0.360104812,-2.764184503,-3.169068078,-1.005462594,0.627113456,-4.672269948,2.286971029,-1.553385051,-1.717949315
Wisconsin,P-value,1,0.190582483,0.082412112,0.769539829,0.988017081,0.210409769,0.090743323,0.943374956,0.997007505,0.000778404,1,0.810153908,0.742916285
Wyoming,ADF Statistic,-3.129684565,-0.940774667,-2.974524245,-3.652644375,-2.648961827,-1.280397766,-2.187824334,-2.246370934,-1.67618412,-1.486415285,0.121447768,-6.495090662,-2.35674847
Wyoming,P-value,0.099344773,0.951576784,0.139343273,0.025671325,0.25787849,0.892691696,0.496705567,0.463809852,0.761198207,0.833736876,0.995274183,1.89E-07,0.402850735
