Variable,ADF Statistic,P-value
unemployrate,-1.616668064,0.785837353
AGRm,-4.073074501,0.006904364
MINm,-2.062573742,0.566980073
MANm,-2.473364904,0.341404265
TandWm,-3.429143421,0.047614213
INFm,-2.661158025,0.252561222
FandIm,-3.289222399,0.068043333
Rem,-2.799479858,0.197135551
HSm,-1.869362537,0.67039258
PIEPCm,-2.39658807,0.381434409
TRADEm,-5.061972142,0.000158421
PSTEm,1.862318778,1
MEHIm,-3.094251151,0.10760426
unemployrate,-1.829316805,0.690453301
AGRm,-1.912421099,0.648208381
MINm,-2.144066619,0.521349136
MANm,-2.909027572,0.159314067
TandWm,-2.888561078,0.1663176
INFm,-2.179392298,0.501454731
FandIm,-3.423356479,0.04834467
Rem,1.917558587,1
HSm,-1.44307112,0.847821981
PIEPCm,-0.587102184,0.979597088
TRADEm,-3.955917442,0.01014763
PSTEm,-0.919570544,0.954012057
MEHIm,-4.796812541,0.000474451
unemployrate,-1.972296631,0.616440114
AGRm,-1.77195093,0.718123502
MINm,-2.019269548,0.590898762
MANm,-4.087535095,0.006577339
TandWm,-2.235130453,0.470108588
INFm,-2.790465914,0.200468259
FandIm,-3.67354706,0.024159421
Rem,-1.326747905,0.881153629
HSm,-2.279308784,0.445426797
PIEPCm,0.336423155,0.996408772
TRADEm,-3.039325963,0.121416067
PSTEm,-0.592078662,0.979350468
MEHIm,-2.465683367,0.345326242
unemployrate,-1.466599028,0.840290671
AGRm,-2.147702434,0.519302678
MINm,-3.423650511,0.048307333
MANm,-3.473400582,0.042325865
TandWm,-1.153649418,0.91957694
INFm,-3.628928302,0.027485151
FandIm,-1.661048249,0.767624042
Rem,-6.687638558,7.10E-08
HSm,-2.102373038,0.544767644
PIEPCm,-1.029646855,0.939990007
TRADEm,-3.25870917,0.073325011
PSTEm,-3.219431261,0.080598853
MEHIm,-4.761786015,0.000546066
unemployrate,-3.316831382,0.063531913
AGRm,-1.999895921,0.601490468
MINm,0.34591417,0.996442975
MANm,-1.345414213,0.876232855
TandWm,-0.493163342,0.983699498
INFm,-3.329894757,0.061483293
FandIm,-1.855062585,0.677622346
Rem,-0.150364718,0.992346174
HSm,-2.538043975,0.309209871
PIEPCm,-5.478322422,2.54E-05
TRADEm,-3.053041633,0.117850048
PSTEm,-1.822524164,0.693797357
MEHIm,-2.04623086,0.576042504
unemployrate,-1.809871182,0.699979173
