	m1	m2
	b	b
agrr	-31311.68	1367147
minr	14330.01	-22646.86
manr	-118791.9	-117608.6
tandwr	-322022.1	-110668
infr	-156673.4	-165003.8
fandir	-256644.1	-95650.17
pster	23785.8	71868.45
hsr	519195	257916.1
piepc	-.5984588	-.5411799
mehi	-.118626	-.0684535
unemployrate	-2719.251	-431.4476
_cons	89864.38	61423.1
