geoname,year,region,taxrevenueratio,agr,agrm,agrr,min,minm,minr,man,manm,manr,wholesaletrade,retailtrade,tandw,tandwm,tandwr,inf,infm,infr,fandi,fandim,fandir,re,rem,rer,professionalscientificandtechnic,educationalservices,hs,hsm,hsr,str,gdp,taxrevenue,spi,piepc,piepcm,trade,tradem,trader,pste,pstem,pster,igt,lgigt,c,p,lgpl,wapw,mehi,mehim,unemployrate,lggdp,lgml,granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty
Texas,2003,Southwest,0.0350685,8181,0.8181,0.00985942,89292,8.9292,0.10761127,121716,12.1716,0.1466874,65398,63538,33307,3.3307,0.0401403,35834,3.5834,0.0431858,48086,4.8086,0.0579514,88644,8.8644,0.1068303,62979,6099,56920,5.692,0.0685978,29098.584,829764.4,35068.49,664814.9,24570,2.457,128936,12.8936,0.1553887,69078,6.9078,0.0832501,,,,,,,59710,5.971,6.733333,5.918955,,388542,350650,37892,0.1080622,Republican
New Mexico,2001,Southwest,0.0714863,1032,0.1032,0.01843311,7629,0.7629,0.13626572,3759,0.3759,0.0671415,2613,4360,1638,0.1638,0.0292572,1562,0.1562,0.0278997,1767,0.1767,0.0315613,7381,0.7381,0.1318361,3968,358,3852,0.3852,0.0688027,4002.246,55986.2,71486.3,44958.8,20703,2.0703,6973,0.6973,0.1245485,4326,0.4326,0.077269,,,,,,,52050,5.205,4.958333,4.748081,,318542,284384,34158,0.1201122,Republican
New Mexico,2016,Southwest,0.0569081,1383.7,0.13837,0.01520484,5958.2,0.59582,0.06547192,3820.6,0.38206,0.0419828,3065.6,5523.1,2374.1,0.23741,0.0260879,2876.3,0.28763,0.0316063,3247.2,0.32472,0.035682,12260.1,1.22601,0.1347206,6786.1,591.6,7253.9,0.72539,0.0797098,5178.859,91003.9,56908.1,80782.3,32896,3.2896,8588.7,0.85887,0.0943773,7377.7,0.73777,0.0810702,,,,,,,58130,5.813,6.75,4.95906,,660833,599787,61046,0.1017795,Republican
Texas,2015,Southwest,0.0351284,8042,0.8042,0.00512835,190093,19.0093,0.12122146,200406,20.0406,0.127798,118676,88426,50272,5.0272,0.0320582,54555,5.4555,0.0347895,65889,6.5889,0.0420171,137825,13.7825,0.0878904,95334,8076,83012,8.3012,0.0529364,55086.438,1568147,35128.38,1281170,36040,3.604,207102,20.7102,0.132068,103410,10.341,0.0659441,,,,,,,68360,6.836,4.483333,6.195386,,624357,567054,57303,0.1010539,Republican
Arizona,2005,Southwest,0.0482337,2039,0.2039,0.00893392,4982,0.4982,0.02182874,19522,1.9522,0.0855361,15053,20342,7106,0.7106,0.0311351,6630,0.663,0.0290495,16229,1.6229,0.0711077,36330,3.633,0.1591807,12548,2054,15560,1.556,0.0681765,11008.428,228231.2,48233.67,187724.9,29116,2.9116,35395,3.5395,0.155084,14602,1.4602,0.063979,,,,,,,52840,5.284,4.666667,5.358375,,428018,388870,39148,0.1006712,Democrat
Oklahoma,2013,Southwest,0.0486945,2003,0.2003,0.01096823,24002,2.4002,0.13143254,15307,1.5307,0.0838196,9398,10091,6966,0.6966,0.0381451,3963,0.3963,0.021701,5464,0.5464,0.0299203,16507,1.6507,0.0903907,6537,808,11013,1.1013,0.0603061,8892.503,182618.4,48694.45,167796.9,30561,3.0561,19489,1.9489,0.1067198,7345,0.7345,0.0402205,,,,,,,56630,5.663,5.116667,5.261545,,546178,486781,59397,0.12202,Republican
Oklahoma,2001,Southwest,0.0655359,1460,0.146,0.01508779,11245,1.1245,0.11620697,13521,1.3521,0.1397274,6330,7945,3867,0.3867,0.039962,3010,0.301,0.0311056,4749,0.4749,0.0490766,12129,1.2129,0.1253423,4862,713,8203,0.8203,0.0847706,6341.714,96767,65535.92,88609.5,20335,2.0335,14275,1.4275,0.1475193,5575,0.5575,0.0576126,,,,,,,55960,5.596,3.625,4.985727,,318542,284384,34158,0.1201122,Republican
New Mexico,2014,Southwest,0.0622453,1102,0.1102,0.01191404,10162,1.0162,0.10986433,3822,0.3822,0.0413207,2729,5141,2186,0.2186,0.0236335,2792,0.2792,0.0301851,2467,0.2467,0.0266715,10997,1.0997,0.1188918,5793,418,5892,0.5892,0.0637001,5757.432,92495.9,62245.27,77266,31620,3.162,7870,0.787,0.0850849,6211,0.6211,0.0671489,,,,,,,56470,5.647,6.591667,4.966123,,576978,517428,59550,0.1150885,Republican
New Mexico,2008,Southwest,0.0622461,879,0.0879,0.01049876,6774,0.6774,0.08090851,4885,0.4885,0.0583463,3089,5013,2216,0.2216,0.0264679,3682,0.3682,0.0439777,2019,0.2019,0.0241149,9205,0.9205,0.1099443,6117,448,5405,0.5405,0.0645572,5211.507,83724.2,62246.13,67462.4,28471,2.8471,8102,0.8102,0.0967701,6565,0.6565,0.0784122,,,,,,,55470,5.547,4.3,4.922851,,461317,411142,50175,0.1220381,Democrat
Oklahoma,2015,Southwest,0.0523216,2372,0.2372,0.01280428,29867,2.9867,0.16122494,16066,1.6066,0.0867258,9409,10265,7765,0.7765,0.0419162,4257,0.4257,0.0229797,5499,0.5499,0.0296841,16827,1.6827,0.0908338,6859,787,11774,1.1774,0.0635572,9692.601,185250.5,52321.59,172726.3,31787,3.1787,19674,1.9674,0.1062021,7646,0.7646,0.0412738,,,,,,,56990,5.699,4.291667,5.267759,,624357,567054,57303,0.1010539,Republican
Texas,2013,Southwest,0.0344823,7130,0.713,0.00474621,155083,15.5083,0.10323383,198838,19.8838,0.1323601,107012,78614,45036,4.5036,0.029979,48201,4.8201,0.0320859,60711,6.0711,0.0404134,125283,12.5283,0.0833969,86483,7861,75405,7.5405,0.0501947,51801.013,1502250,34482.29,1173747,33814,3.3814,185626,18.5626,0.1235653,94344,9.4344,0.0628018,,,,,,,63070,6.307,6.3,6.176742,,546178,486781,59397,0.12202,Republican
Oklahoma,2010,Southwest,0.0463155,2069,0.2069,0.01353071,15821,1.5821,0.10346514,13962,1.3962,0.0913078,6563,9278,4382,0.4382,0.0286571,3966,0.3966,0.0259366,5243,0.5243,0.0342878,14973,1.4973,0.0979194,5955,807,10463,1.0463,0.0684252,7082.161,152911.4,46315.45,139695.1,27938,2.7938,15841,1.5841,0.1035959,6762,0.6762,0.0442217,,,,,,,56250,5.625,6.5,5.18444,,608390,559569,48821,0.0872475,Democrat
Oklahoma,2003,Southwest,0.0561165,1767,0.1767,0.01678967,11504,1.1504,0.10930862,13953,1.3953,0.1325785,6694,8514,3875,0.3875,0.0368194,3115,0.3115,0.0295981,5204,0.5204,0.0494473,11906,1.1906,0.1131283,5142,725,8730,0.873,0.0829507,5905.884,105243.3,56116.48,95275.7,21807,2.1807,15208,1.5208,0.1445033,5867,0.5867,0.055747,,,,,,,54590,5.459,5.408333,5.022194,,388542,350650,37892,0.1080622,Democrat
Oklahoma,2002,Southwest,0.0610377,1847,0.1847,0.0186259,11663,1.1663,0.11761443,12683,1.2683,0.1279005,6573,8147,3630,0.363,0.0366064,3265,0.3265,0.0329256,5098,0.5098,0.0514103,12114,1.2114,0.1221625,5075,718,8533,0.8533,0.0860502,6052.68,99163,61037.68,90711.6,20796,2.0796,14720,1.472,0.1484425,5793,0.5793,0.058419,,,,,,,56590,5.659,4.625,4.99635,,352895,314672,38223,0.1214693,Republican
New Mexico,2011,Southwest,0.0569015,1076,0.1076,0.01242136,7749,0.7749,0.08945454,4150,0.415,0.0479076,2555,4816,2177,0.2177,0.0251313,3371,0.3371,0.0389149,2195,0.2195,0.0253391,11085,1.1085,0.1279654,5958,444,5730,0.573,0.0661472,4929.096,86625,56901.54,73017.7,29514,2.9514,7371,0.7371,0.0850909,6402,0.6402,0.0739048,,,,,,,53130,5.313,7.216667,4.937643,,606770,552210,54560,0.098803,Republican
Oklahoma,2011,Southwest,0.0471184,2014,0.2014,0.01220343,18427,1.8427,0.1116547,14925,1.4925,0.090435,7398,9418,5024,0.5024,0.0304419,3917,0.3917,0.0237343,5378,0.5378,0.0325869,15645,1.5645,0.0947977,6194,812,10635,1.0635,0.0644406,7776.21,165035.6,47118.38,150302,29179,2.9179,16816,1.6816,0.1018932,7006,0.7006,0.0424514,,,,,,,61330,6.133,5.591667,5.217577,,606770,552210,54560,0.098803,Democrat
New Mexico,2000,Southwest,0.0677708,918,0.0918,0.01662053,6247,0.6247,0.11310288,4815,0.4815,0.0871763,2529,4204,1808,0.1808,0.0327341,1445,0.1445,0.0261619,1576,0.1576,0.0285337,6973,0.6973,0.1262472,3757,343,3741,0.3741,0.0677314,3743.178,55232.9,67770.8,41922.3,19971,1.9971,6733,0.6733,0.121902,4100,0.41,0.0742311,,,,,,,56390,5.639,5.025,4.742198,,285874,254098,31776,0.1250541,Republican
New Mexico,2007,Southwest,0.068599,999,0.0999,0.01239872,6788,0.6788,0.08424679,5043,0.5043,0.0625894,3122,5156,2149,0.2149,0.0266715,2323,0.2323,0.0288311,2024,0.2024,0.0251201,9040,0.904,0.1121967,5842,424,5063,0.5063,0.0628376,5527.217,80572.8,68599.05,63243.6,27502,2.7502,8278,0.8278,0.1027394,6266,0.6266,0.0777682,,,,,,,60580,6.058,3.591667,4.906188,,443797,397808,45989,0.115606,Democrat
Arizona,2010,Southwest,0.0431891,1446,0.1446,0.00582571,5773,0.5773,0.02325853,21343,2.1343,0.0859877,14225,18267,7193,0.7193,0.0289795,7082,0.7082,0.0285323,13413,1.3413,0.0540389,37213,3.7213,0.1499255,13480,2830,19670,1.967,0.0792474,10719.958,248210,43189.07,216223.6,30689,3.0689,32492,3.2492,0.1309053,16310,1.631,0.0657105,,,,,,,50350,5.035,10.3,5.394819,,608390,559569,48821,0.0872475,Republican
New Mexico,2010,Southwest,0.0511403,1153,0.1153,0.01372796,7306,0.7306,0.08698738,4431,0.4431,0.0527568,2630,4914,1973,0.1973,0.0234911,3988,0.3988,0.0474823,2201,0.2201,0.0262058,10233,1.0233,0.1218371,6022,458,5616,0.5616,0.0668657,4295.237,83989.2,51140.35,69499.8,28465,2.8465,7544,0.7544,0.0898211,6480,0.648,0.0771528,,,,,,,58900,5.89,7.775,4.924223,,608390,559569,48821,0.0872475,Democrat
New Mexico,2015,Southwest,0.0661061,1067,0.1067,0.01173739,10751,1.0751,0.11826489,3878,0.3878,0.0426594,2752,5317,2129,0.2129,0.0234198,2939,0.2939,0.0323301,2481,0.2481,0.0272919,11272,1.1272,0.1239961,5937,411,6182,0.6182,0.0680042,6009.443,90906.1,66106.05,79130.8,32292,3.2292,8069,0.8069,0.0887619,6348,0.6348,0.0698303,,,,,,,54620,5.462,6.6,4.958593,,624357,567054,57303,0.1010539,Republican
Texas,2008,Southwest,0.0368006,5691,0.5691,0.00459918,102721,10.2721,0.08301392,163760,16.376,0.1323425,94258,68502,44947,4.4947,0.0363239,50335,5.0335,0.0406782,50039,5.0039,0.040439,107423,10.7423,0.0868138,80564,6948,65692,6.5692,0.053089,45536.833,1237395,36800.57,968499.3,30200,3.02,162760,16.276,0.1315344,87512,8.7512,0.0707228,,,,,,,61250,6.125,4.866667,6.092508,,461317,411142,50175,0.1220381,Republican
Oklahoma,2005,Southwest,0.0550646,2299,0.2299,0.01845648,12912,1.2912,0.10365814,14755,1.4755,0.1184538,7419,8742,4526,0.4526,0.0363349,3984,0.3984,0.0319837,5472,0.5472,0.0439295,12725,1.2725,0.1021569,5344,753,9259,0.9259,0.0743317,6859.03,124563.3,55064.61,112487.6,24387,2.4387,16161,1.6161,0.1297413,6097,0.6097,0.048947,,,,,,,54270,5.427,4.325,5.09539,,428018,388870,39148,0.1006712,Democrat
