geoname,year,region,taxrevenueratio,agr,agrm,agrr,min,minm,minr,man,manm,manr,wholesaletrade,retailtrade,tandw,tandwm,tandwr,inf,infm,infr,fandi,fandim,fandir,re,rem,rer,professionalscientificandtechnic,educationalservices,hs,hsm,hsr,str,gdp,taxrevenue,spi,piepc,piepcm,trade,tradem,trader,pste,pstem,pster,igt,lgigt,c,p,lgpl,wapw,mehi,mehim,unemployrate,lggdp,lgml,granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty
Kansas,2018,Plains,0.0562248,4589,0.4589,0.02702641,1094.3,0.10943,0.00644476,26166.7,2.61667,0.1541059,11089.9,10701.3,6749.2,0.67492,0.0397487,7490.6,0.74906,0.0441151,8299.8,0.82998,0.0488808,22067.8,2.20678,0.1299659,9507.2,1089.9,12512.7,1.25127,0.0736922,9546.79,169796.9,56224.76,147407.4,37966,3.7966,21791.2,2.17912,0.1283368,10597.1,1.05971,0.0624104,395872.8,9.5976,1,Republican,3.4641,0.6401,73900,7.39,3.358333,5.22993,5.462768,696507,634179,62328,0.0982814,Republican
Minnesota,2004,Plains,0.0639864,3499,0.3499,0.01519441,1473,0.1473,0.00639651,36491,3.6491,0.1584622,17794,15706,8031,0.8031,0.0348746,8946,0.8946,0.038848,20273,2.0273,0.0880355,29715,2.9715,0.1290374,15157,2273,20651,2.0651,0.089677,14734.921,230282,63986.42,188674.9,31699,3.1699,33500,3.35,0.1454738,17430,1.743,0.0756898,,,,,,,83220,8.322,4.583333,5.36226,,407512,369909,37603,0.1016547,Republican
Kansas,2003,Plains,0.0529411,2735,0.2735,0.02891014,1508,0.1508,0.01594021,16959,1.6959,0.179264,7314,8047,4354,0.4354,0.0460237,5602,0.5602,0.0592156,5540,0.554,0.0585602,10692,1.0692,0.1130191,4800,697,8134,0.8134,0.0859799,5008.411,94603.5,52941.07,81768.2,25168,2.5168,15361,1.5361,0.1623724,5497,0.5497,0.0581057,273033.4,9.4362,3,Republican,3.43505,0.6553,67250,6.725,5.55,4.975907,5.439494,388542,350650,37892,0.1080622,Democrat
North Dakota,2002,Plains,0.0552872,1277,0.1277,0.06318967,643,0.0643,0.03181751,1920,0.192,0.0950072,1783,1783,973,0.0973,0.0481469,677,0.0677,0.0334999,1443,0.1443,0.0714038,2425,0.2425,0.119996,696,117,2161,0.2161,0.1069326,1117.299,20209,55287.2,17356.1,23806,2.3806,3566,0.3566,0.176456,813,0.0813,0.0402296,91757.96,8.9626,1,Republican,2.80494,0.6591,56190,5.619,3.375,4.305545,5.243804,352895,314672,38223,0.1214693,Republican
North Dakota,2006,Plains,0.0620946,1631,0.1631,0.06244257,858,0.0858,0.03284839,2836,0.2836,0.1085758,2279,2002,1285,0.1285,0.049196,1108,0.1108,0.0424196,1371,0.1371,0.0524885,2497,0.2497,0.0955972,831,109,2413,0.2413,0.0923813,1621.912,26120,62094.64,21508.5,29670,2.967,4281,0.4281,0.1638974,940,0.094,0.0359877,106957.5,9.0292,1,Republican,2.81253,0.67,57500,5.75,3.1,4.416973,5.245034,434099,391181,42918,0.1097139,Republican
Nebraska,2007,Plains,0.0495944,3669,0.3669,0.04413951,230,0.023,0.00276699,10391,1.0391,0.1250078,5195,5138,7002,0.7002,0.0842368,3041,0.3041,0.0365844,7293,0.7293,0.0877377,7736,0.7736,0.0930671,3629,743,6186,0.6186,0.07442,4122.427,83122.8,49594.42,68098.6,30767,3.0767,10333,1.0333,0.1243101,4372,0.4372,0.0525969,222566.8,9.3475,5,Republican,3.25126,0.6576,67160,6.716,2.925,4.91972,5.27866,443797,397808,45989,0.115606,Republican
North Dakota,2004,Plains,0.053043,1301,0.1301,0.05615553,660,0.066,0.02848781,2372,0.2372,0.1023835,2168,1895,1128,0.1128,0.0486883,872,0.0872,0.0376384,1353,0.1353,0.0584,2460,0.246,0.1061819,721,120,2291,0.2291,0.0988872,1228.89,23167.8,53043.02,19330.9,26461,2.6461,4063,0.4063,0.1753727,841,0.0841,0.0363004,98451.88,8.9932,1,Republican,2.80936,0.6657,58170,5.817,3.383333,4.364885,5.244752,407512,369909,37603,0.1016547,Republican
Iowa,2010,Plains,0.0481287,6306,0.6306,0.04457104,294,0.0294,0.002078,27131,2.7131,0.1917629,8096,8185,5018,0.5018,0.0354674,4498,0.4498,0.031792,13470,1.347,0.0952065,15094,1.5094,0.1066849,4128,1275,9760,0.976,0.068984,6809.344,141482,48128.7,116535.7,30456,3.0456,16281,1.6281,0.1150747,5403,0.5403,0.0381886,,,16,Swing,3.48428,,63960,6.396,6.116667,5.150701,5.370137,608390,559569,48821,0.0872475,Democrat
Missouri,2017,Plains,0.0401362,3428.5,0.34285,0.01101442,864.4,0.08644,0.00277698,35939.9,3.59399,0.1154607,20897.2,19899.6,11064.6,1.10646,0.0355462,11179,1.1179,0.0359137,23584,2.3584,0.0757661,35930.7,3.59307,0.1154312,21938.3,4074.2,28074.6,2.80746,0.0901926,12493.358,311273.8,40136.23,273774.2,38477,3.8477,40796.8,4.07968,0.131064,26012.5,2.60125,0.0835679,,,,,,,66660,6.666,3.741667,5.493143,,674712,613125,61587,0.1004477,Republican
Minnesota,2007,Plains,0.0686498,3572,0.3572,0.01380071,1350,0.135,0.00521584,36596,3.6596,0.1413916,19420,14739,8154,0.8154,0.0315036,10755,1.0755,0.0415528,21633,2.1633,0.0835809,32409,3.2409,0.1252148,15742,2432,22765,2.2765,0.0879544,17768.434,258827.2,68649.8,215185.4,34805,3.4805,34159,3.4159,0.1319761,18174,1.8174,0.0702167,,,,,,,79300,7.93,4.583333,5.41301,,443797,397808,45989,0.115606,Republican
Iowa,2004,Plains,0.044702,5550,0.555,0.04757721,442,0.0442,0.00378903,27413,2.7413,0.2349971,7210,8117,4548,0.4548,0.0389876,3676,0.3676,0.0315124,14096,1.4096,0.1208375,11895,1.1895,0.1019695,3638,1204,8996,0.8996,0.0771179,5214.602,116652.5,44702.02,93377.9,25369,2.5369,15327,1.5327,0.1313902,4842,0.4842,0.0415079,,,3,Swing,3.47036,0.6522,64360,6.436,4.525,5.066894,5.369691,407512,369909,37603,0.1016547,Democrat
Minnesota,2014,Plains,0.0727936,4918,0.4918,0.01540057,3042,0.3042,0.00952593,42186,4.2186,0.1321042,19781,16507,8008,0.8008,0.0250768,11047,1.1047,0.0345933,21594,2.1594,0.0676209,35160,3.516,0.1101025,17994,2586,26394,2.6394,0.082652,23245.827,319338.9,72793.59,270190.2,40107,4.0107,36288,3.6288,0.1136348,20580,2.058,0.0644456,,,,,,,81340,8.134,4.266667,5.504252,,576978,517428,59550,0.1150885,Democrat
Kansas,2011,Plains,0.0502345,4624,0.4624,0.03417204,1789,0.1789,0.01322097,21597,2.1597,0.159605,8276,8383,4919,0.4919,0.0363521,5065,0.5065,0.0374311,6199,0.6199,0.0458115,14592,1.4592,0.107837,5955,776,9569,0.9569,0.0707163,6797.501,135315.3,50234.54,123198.9,32250,3.225,16659,1.6659,0.1231125,6731,0.6731,0.0497431,472363.9,9.6743,9,Republican,3.45776,0.6553,58410,5.841,6.383333,5.131347,5.457325,606770,552210,54560,0.098803,Democrat
Minnesota,2011,Plains,0.0667809,5032,0.5032,0.01773034,3079,0.3079,0.01084891,38590,3.859,0.1359725,18368,15023,8016,0.8016,0.0282445,11053,1.1053,0.0389454,20351,2.0351,0.0717071,33724,3.3724,0.1188271,16249,2707,24706,2.4706,0.087052,18952.919,283807.3,66780.95,241599.5,37339,3.7339,33391,3.3391,0.1176538,18956,1.8956,0.0667918,,,,,,,73180,7.318,6.525,5.453023,,606770,552210,54560,0.098803,Democrat
Missouri,2000,Plains,0.0457645,1729,0.1729,0.00923134,1390,0.139,0.00742138,34498,3.4498,0.1841889,14535,14254,8879,0.8879,0.047406,7512,0.7512,0.0401075,16702,1.6702,0.089174,23001,2.3001,0.1228051,12348,3109,16257,1.6257,0.0867981,8571.548,187296.8,45764.52,156202.1,23557,2.3557,28789,2.8789,0.1537079,15457,1.5457,0.0825268,,,,,,,72470,7.247,3.416667,5.272531,,285874,254098,31776,0.1250541,Democrat
